country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","03-06-2026 23:00:00",30.943887,76.801991,NO2,6,34,15
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","03-06-2026 23:00:00",30.943887,76.801991,OZONE,34,188,132
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","03-06-2026 23:00:00",34.031606,75.009712,PM2.5,14,42,25
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","03-06-2026 23:00:00",34.031606,75.009712,PM10,20,59,35
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC","03-06-2026 23:00:00",34.031606,75.009712,NO2,13,35,21
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC","03-06-2026 23:00:00",34.066206,74.819820,PM10,33,64,45
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC","03-06-2026 23:00:00",34.066206,74.819820,SO2,3,4,3
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","03-06-2026 23:00:00",23.707909,86.414670,PM10,47,124,86
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","03-06-2026 23:00:00",23.707909,86.414670,SO2,4,4,4
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","03-06-2026 23:00:00",16.172806,75.659694,SO2,7,7,7
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","03-06-2026 23:00:00",15.888653,74.541751,NH3,1,10,4
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","03-06-2026 23:00:00",15.888653,74.541751,SO2,47,58,53
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","03-06-2026 23:00:00",12.9135218,77.5950804,NO2,19,20,19
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","03-06-2026 23:00:00",12.9352049,77.6814488,OZONE,14,30,21
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","03-06-2026 23:00:00",12.951913,77.539784,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","03-06-2026 23:00:00",12.951913,77.539784,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","03-06-2026 23:00:00",12.938539,77.590100,PM10,14,39,26
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","03-06-2026 23:00:00",12.938539,77.590100,NH3,1,2,2
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","03-06-2026 23:00:00",12.938539,77.590100,SO2,1,10,5
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","03-06-2026 23:00:00",12.920984,77.584908,PM2.5,16,45,34
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","03-06-2026 23:00:00",12.920984,77.584908,SO2,18,36,27
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","03-06-2026 23:00:00",12.920984,77.584908,OZONE,12,70,40
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","03-06-2026 23:00:00",13.0270199,77.494094,PM10,48,49,48
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","03-06-2026 23:00:00",13.0270199,77.494094,NO2,4,331,97
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","03-06-2026 23:00:00",13.0270199,77.494094,CO,20,34,24
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","03-06-2026 23:00:00",13.0246342,77.5080115,CO,NA,NA,NA
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","03-06-2026 23:00:00",13.428828,77.731418,CO,11,38,26
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","03-06-2026 23:00:00",13.328028,75.797056,PM2.5,NA,NA,NA
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","03-06-2026 23:00:00",13.328028,75.797056,OZONE,10,20,12
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","03-06-2026 23:00:00",28.6573814,77.1585447,OZONE,2,204,100
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","03-06-2026 23:00:00",28.530785,77.271255,NO2,10,90,45
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","03-06-2026 23:00:00",28.530785,77.271255,OZONE,6,89,59
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","03-06-2026 23:00:00",28.623763,77.287209,OZONE,1,87,57
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","03-06-2026 23:00:00",28.674045,77.131023,NH3,3,4,4
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","03-06-2026 23:00:00",28.674045,77.131023,SO2,17,30,25
India,Delhi,Delhi,"Pusa, Delhi - DPCC","03-06-2026 23:00:00",28.639652,77.146275,SO2,7,32,18
India,Delhi,Delhi,"Pusa, Delhi - IITM","03-06-2026 23:00:00",28.636110,77.173332,NO2,20,98,53
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","03-06-2026 23:00:00",28.563262,77.186937,PM2.5,65,240,129
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","03-06-2026 23:00:00",28.563262,77.186937,NO2,18,105,54
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","03-06-2026 23:00:00",28.563262,77.186937,OZONE,1,66,37
India,Delhi,Delhi,"Rohini, Delhi - DPCC","03-06-2026 23:00:00",28.732528,77.119920,PM2.5,63,253,120
India,Delhi,Delhi,"Rohini, Delhi - DPCC","03-06-2026 23:00:00",28.732528,77.119920,SO2,7,17,10
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","03-06-2026 23:00:00",28.6514781,77.1473105,NO2,30,57,42
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","03-06-2026 23:00:00",28.5504249,77.2159377,SO2,36,44,38
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","03-06-2026 23:00:00",28.5504249,77.2159377,CO,15,74,48
